Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,Bojan Bogdanovic,F,80,216,32,UTA,69,7,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and HerzegovinaCroatia
2022,Bol Bol,C,86,209,22,DEN,14,2,Oregon,2019 Rnd 2 Pick 14,United States
2022,Leandro Bolmaro,SG,78,200,21,MIN,35,0,FC Barcelona II (Spain),2020 Rnd 1 Pick 23,Argentina
2022,Isaac Bonga,SG,80,180,22,TOR,15,3,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany
2022,Devin Booker,SG,78,206,25,PHX,68,6,Kentucky,2015 Rnd 1 Pick 13,United States
2022,"B.J. Boston, Jr.",SG,78,188,20,LAC,51,0,Kentucky,2021 Rnd 2 Pick 21,United States
2022,Chris Boucher,PF,82,200,29,TOR,80,4,Oregon,"2017 NBA Draft, Undrafted",Saint LuciaCanada
2022,James Bouknight,G,76,185,21,CHA,31,0,Connecticut,2021 Rnd 1 Pick 11,United States
2022,Avery Bradley,PG,75,180,31,LAL,62,11,Texas,2010 Rnd 1 Pick 19,United States
2022,Tony Bradley,C,83,248,24,CHI,55,4,North Carolina,2017 Rnd 1 Pick 28,United States
2022,Ignas Brazdeikis,SF,78,221,23,ORL,42,2,Michigan,2019 Rnd 2 Pick 17,LithuaniaCanada
2022,Mikal Bridges,SG,79,210,25,PHX,82,3,Villanova,2018 Rnd 1 Pick 10,United States
2022,Miles Bridges,SF,79,225,23,CHA,80,3,Michigan State,2018 Rnd 1 Pick 12,United States
2022,Oshae Brissett,PF,79,210,23,IND,67,2,Syracuse,"2019 NBA Draft, Undrafted",Canada
2022,Malcolm Brogdon,SG,77,229,29,IND,36,5,Virginia,2016 Rnd 2 Pick 6,United States
2022,Armoni Brooks,SG,75,195,23,"HOU, TOR",54,1,Houston,"2019 NBA Draft, Undrafted",United States
2022,Dillon Brooks,F,78,215,26,MEM,32,4,Oregon,2017 Rnd 2 Pick 15,Canada
2022,Greg Brown III,SF,80,200,20,POR,48,0,Texas,2021 Rnd 2 Pick 13,United States
2022,Jaylen Brown,SF,78,220,25,BOS,66,5,California,2016 Rnd 1 Pick 3,United States
2022,"Bruce Brown, Jr.",SG,76,202,25,BRK,72,3,Miami (FL),2018 Rnd 2 Pick 12,United States
2022,"Charlie Brown, Jr.",SG,78,199,25,"DAL, PHL",22,2,Saint Joseph's,"2019 NBA Draft, Undrafted",United States
2022,"Chaundee Brown, Jr.",SF,77,215,23,"ATL, LAL",5,0,Michigan,"2021 NBA Draft, Undrafted",United States
2022,"Troy Brown, Jr.",SF,78,215,22,CHI,66,3,Oregon,2018 Rnd 1 Pick 15,United States
2022,Moses Brown,C,85,245,22,"CLE, DAL",40,2,UCLA,"2019 NBA Draft, Undrafted",United States
2022,Sterling Brown,G,77,219,27,DAL,49,4,Southern Methodist,2017 Rnd 2 Pick 16,United States
2022,Jalen Brunson,PG,73,190,25,DAL,79,3,Villanova,2018 Rnd 2 Pick 3,United States
2022,Thomas Bryant,C,82,248,24,WAS,27,4,Indiana,2017 Rnd 2 Pick 12,United States
2022,Shaq Buchanan,G,75,190,25,MEM,2,0,Murray State,"2019 NBA Draft, Undrafted",United States
2022,Reggie Bullock,SG,79,205,30,DAL,68,8,North Carolina,2013 Rnd 1 Pick 25,United States
2022,Trey Burke,G,72,185,29,DAL,42,8,Michigan,2013 Rnd 1 Pick 9,United States
2022,Alec Burks,SG,78,214,30,NYK,81,10,Colorado,2011 Rnd 1 Pick 12,United States
2022,Jared Butler,PG,75,195,21,UTA,42,0,Baylor,2021 Rnd 2 Pick 10,United States
2022,Jimmy Butler,GF,80,232,32,MIA,57,10,Marquette,2011 Rnd 1 Pick 30,United States
2022,Devontae Cacok,PF,79,240,25,SAS,15,2,UNC Wilmington,"2019 NBA Draft, Undrafted",United States
2022,Kentavious Caldwell-Pope,SG,77,204,29,WAS,77,8,Georgia,2013 Rnd 1 Pick 8,United States
2022,Facundo Campazzo,PG,71,165,30,DEN,65,1,Penarol (Argentina),"2013 NBA Draft, Undrafted",Argentina
2022,Vlatko Cancar,SF,80,236,24,DEN,15,2,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia
2022,Devin Cannady,PG,74,183,25,ORL,5,1,Princeton,"2019 NBA Draft, Undrafted",United States
2022,Clint Capela,PF,82,240,27,ATL,74,7,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
2022,"Vernon Carey, Jr.",PF,81,270,21,"CHA, WAS",7,1,Duke,2020 Rnd 2 Pick 2,United States
2022,Jevon Carter,PG,73,195,26,"BRK, MIL",66,3,West Virginia,2018 Rnd 2 Pick 2,United States
