Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,Jrue Holiday,G,76,205,31,MIL,67,12,UCLA,2009 Rnd 1 Pick 17,United States
2022,Justin Holiday,SF,78,181,32,"IND, SAC",74,8,Washington,"2011 NBA Draft, Undrafted",United States
2022,Richaun Holmes,F,82,240,28,SAC,45,6,Bowling Green,2015 Rnd 2 Pick 7,United States
2022,Rodney Hood,F,80,205,29,"LAC, MIL",52,7,Duke,2014 Rnd 1 Pick 23,United States
2022,Scotty Hopson,GF,79,204,32,OKC,1,3,Tennessee,"2011 NBA Draft, Undrafted",United States
2022,Al Horford,FC,81,240,35,BOS,69,14,Florida,2007 Rnd 1 Pick 3,Dominican RepublicUnited States
2022,Talen Horton-Tucker,SF,76,233,21,LAL,60,2,Iowa State,2019 Rnd 2 Pick 16,United States
2022,Danuel House,F,78,215,28,"HOU, NYK, UTH",42,5,Texas A&M,"2016 NBA Draft, Undrafted",United States
2022,Dwight Howard,C,83,265,36,LAL,60,17,Southwest Atlanta Christian Academy (Georgia),2004 Rnd 1 Pick 1,United States
2022,Markus Howard,SG,71,180,22,DEN,31,1,Marquette,"2020 NBA Draft, Undrafted",United States
2022,Kevin Huerter,SF,79,190,23,ATL,74,3,Maryland,2018 Rnd 1 Pick 19,United States
2022,Jay Huff,C,85,240,23,LAL,4,0,Virginia,"2021 NBA Draft, Undrafted",United States
2022,Elijah Hughes,SF,78,215,23,"POR, UTH",36,1,Syracuse,2020 Rnd 2 Pick 9,United States
2022,Feron Hunt,SF,80,195,22,NYK,2,0,Southern Methodist,"2021 NBA Draft, Undrafted",United States
2022,De'Andre Hunter,PF,79,225,24,ATL,53,2,Virginia,2019 Rnd 1 Pick 4,United States
2022,Chandler Hutchison,SG,79,197,25,PHX,6,3,Boise State,2018 Rnd 1 Pick 22,United States
2022,Bones Hyland,G,75,173,21,DEN,69,0,VCU,2021 Rnd 1 Pick 26,United States
2022,Serge Ibaka,C,82,235,32,"LAC, MIL",54,12,CB L'Hospitalet (Spain),2008 Rnd 1 Pick 24,Republic of the CongoSpain
2022,Andre Iguodala,SF,78,215,38,GSW,31,17,Arizona,2004 Rnd 1 Pick 9,United States
2022,Joe Ingles,F,80,226,34,UTA,45,7,Melbourne South (Australia),"2009 NBA Draft, Undrafted",Australia
2022,Brandon Ingram,SF,79,190,24,NOP,55,5,Duke,2016 Rnd 1 Pick 2,United States
2022,Kyrie Irving,G,74,195,29,BRK,29,10,Duke,2011 Rnd 1 Pick 1,United StatesAustralia
2022,Wesley Iwundu,F,79,195,27,ATL,3,4,Kansas State,2017 Rnd 2 Pick 3,United States
2022,Frank Jackson,SG,75,205,23,DET,53,4,Duke,2017 Rnd 2 Pick 1,United States
2022,Isaiah Jackson,PF,82,206,20,IND,36,0,Kentucky,2021 Rnd 1 Pick 22,United States
2022,Josh Jackson,SF,80,207,25,"DET, SAC",51,4,Kansas,2017 Rnd 1 Pick 4,United States
2022,"Jaren Jackson, Jr.",PF,83,242,22,MEM,78,3,Michigan State,2018 Rnd 1 Pick 4,United States
2022,Justin Jackson,F,80,210,26,"BOS, PHX",7,4,North Carolina,2017 Rnd 1 Pick 15,United States
2022,Reggie Jackson,G,74,208,31,LAC,75,10,Boston College,2011 Rnd 1 Pick 24,ItalyUnited States
2022,LeBron James,F,80,250,37,LAL,56,18,St. Vincent St. Mary High School (Ohio),2003 Rnd 1 Pick 1,United States
2022,DeJon Jarreau,PG,77,185,24,IND,1,0,Houston,"2021 NBA Draft, Undrafted",United States
2022,DaQuan Jeffries,SF,77,225,24,MEM,3,2,Tulsa,"2019 NBA Draft, Undrafted",United States
2022,Ty Jerome,PG,77,195,24,OKC,48,2,Virginia,2019 Rnd 1 Pick 24,United States
2022,Isaiah Joe,SG,75,174,22,PHI,55,1,Arkansas,2020 Rnd 2 Pick 19,United States
2022,Alize Johnson,SF,79,212,25,"CHI, NOP, WAS",23,3,Missouri State,2018 Rnd 2 Pick 20,United States
2022,B.J. Johnson,SF,79,200,26,ORL,4,2,La Salle,"2018 NBA Draft, Undrafted",United States
2022,Cameron Johnson,G,81,210,25,PHX,66,2,North Carolina,2019 Rnd 1 Pick 11,United States
2022,David Johnson,SG,76,209,21,TOR,2,0,Louisville,2021 Rnd 2 Pick 17,United States
2022,Jalen Johnson,PF,81,220,20,ATL,22,0,Duke,2021 Rnd 1 Pick 20,United States
2022,James Johnson,F,79,235,35,BRK,62,12,Wake Forest,2009 Rnd 1 Pick 16,United States
2022,Joe Johnson,SG,79,240,40,BOS,1,17,Arkansas,2001 Rnd 1 Pick 10,United States
2022,Keldon Johnson,SF,78,210,22,SAS,75,2,Kentucky,2019 Rnd 1 Pick 29,United States
2022,Keon Johnson,PG,76,185,19,"LAC, POR",37,0,Tennessee,2021 Rnd 1 Pick 21,United States
2022,Stanley Johnson,G,78,242,25,LAL,48,6,Arizona,2015 Rnd 1 Pick 8,United States
2022,Tyler Johnson,G,76,190,29,"PHL, SAN",6,7,Fresno State,"2014 NBA Draft, Undrafted",United States
2022,Nikola Jokic,C,84,284,27,DEN,74,6,KK Mega Bemax (Serbia),2014 Rnd 2 Pick 11,Serbia
2022,Carlik Jones,PG,73,185,24,"DAL, DEN",5,0,Louisville,"2021 NBA Draft, Undrafted",United States
2022,Damian Jones,PF,84,245,26,SAC,56,5,Vanderbilt,2016 Rnd 1 Pick 30,United States
2022,Derrick Jones,SF,78,210,25,CHI,51,5,UNLV,"2016 NBA Draft, Undrafted",United States
2022,Herb Jones,SF,78,206,23,NOP,78,0,Alabama,2021 Rnd 2 Pick 5,United States
2022,Jemerrio Jones,F,77,175,26,LAL,2,1,New Mexico State,"2018 NBA Draft, Undrafted",United States
2022,Kai Jones,PF,82,225,21,CHA,21,0,Texas,2021 Rnd 1 Pick 19,Bahamas
2022,Mason Jones,G,76,200,23,LAL,4,1,Arkansas,"2020 NBA Draft, Undrafted",United States
2022,Tre Jones,PG,75,185,22,SAS,69,1,Duke,2020 Rnd 2 Pick 11,United States
2022,Tyus Jones,PG,73,196,25,MEM,73,6,Duke,2015 Rnd 1 Pick 24,United States
2022,DeAndre Jordan,C,83,265,33,"LAL, PHL",48,13,Texas A&M,2008 Rnd 2 Pick 5,United States
2022,Cory Joseph,PG,75,200,30,DET,65,10,Texas,2011 Rnd 1 Pick 29,Canada
2022,Georgios Kalaitzakis,F,79,205,23,"MIL, OKC",13,0,Panathinaikos (Greece),2021 Rnd 2 Pick 30,Greece
2022,Frank Kaminsky,F,84,242,28,PHX,9,6,Wisconsin,2015 Rnd 1 Pick 9,United States
2022,Luke Kennard,SG,77,206,25,LAC,70,4,Duke,2017 Rnd 1 Pick 12,United States
2022,Braxton Key,SF,80,230,25,"DET, PHL",11,0,Virginia,"2020 NBA Draft, Undrafted",United States
2022,George King,SF,78,220,28,DAL,4,1,Colorado,2018 Rnd 2 Pick 29,United States
2022,Louis King,SF,79,205,22,SAC,10,2,Oregon,"2019 NBA Draft, Undrafted",United States
2022,Corey Kispert,SF,79,220,22,WAS,77,0,Gonzaga,2021 Rnd 1 Pick 15,United States
2022,Maxi Kleber,PF,82,240,30,DAL,59,4,s.Oliver Baskets (Germany),"2014 NBA Draft, Undrafted",Germany
2022,Brandon Knight,G,74,182,30,DAL,5,9,Kentucky,2011 Rnd 1 Pick 8,United States
2022,Nathan Knight,PF,80,244,24,MIN,37,1,William & Mary,"2020 NBA Draft, Undrafted",United States
2022,Kevin Knox,SF,81,215,22,"ATL, NYK",30,3,Kentucky,2018 Rnd 1 Pick 9,United States
2022,John Konchar,G,77,210,25,MEM,72,2,Fort Wayne,"2019 NBA Draft, Undrafted",United States
2022,Furkan Korkmaz,SG,79,210,24,PHI,67,4,Anadolu Efes (Turkey),2016 Rnd 1 Pick 26,Turkey
2022,Luke Kornet,F,85,250,26,"BOS, CLE, MIL",15,4,Vanderbilt,"2017 NBA Draft, Undrafted",United States
2022,Vit Krejci,PG,80,195,21,OKC,30,0,Zaragoza U18 (Spain),2020 Rnd 2 Pick 7,Czech Republic
2022,Arnoldas Kulboka,SF,82,225,24,CHA,2,0,Orlandina Basket (Italy),2018 Rnd 2 Pick 25,Lithuania
2022,Jonathan Kuminga,F,80,210,19,GSW,70,0,NBA G League Ignite,2021 Rnd 1 Pick 7,Democratic Republic of the Congo
2022,Kyle Kuzma,F,82,221,26,WAS,66,4,Utah,2017 Rnd 1 Pick 27,United States
2022,Zach LaVine,SG,77,202,26,CHI,67,7,UCLA,2014 Rnd 1 Pick 13,United States
2022,Anthony Lamb,PF,78,225,24,SAS,2,1,Vermont,"2020 NBA Draft, Undrafted",United States
2022,Jeremy Lamb,SG,77,185,29,"IND, SAC",56,9,Connecticut,2012 Rnd 1 Pick 12,United States
2022,Jock Landale,C,83,255,26,SAS,54,0,Saint Mary's,"2018 NBA Draft, Undrafted",Australia
2022,Romeo Langford,SG,76,215,22,"BOS, SAN",48,2,Indiana,2019 Rnd 1 Pick 14,United States
2022,Jake Layman,SF,80,212,27,MIN,34,5,Maryland,2016 Rnd 2 Pick 17,United States
2022,Caris LeVert,G,78,205,27,"CLE, IND",58,5,Michigan,2016 Rnd 1 Pick 20,United States
2022,Damion Lee,G,77,203,29,GSW,63,4,Louisville,"2016 NBA Draft, Undrafted",United States
2022,Saben Lee,PG,74,183,22,DET,37,1,Vanderbilt,2020 Rnd 2 Pick 8,United States
2022,Alex Len,C,84,250,28,SAC,39,8,Maryland,2013 Rnd 1 Pick 5,Ukraine
2022,"Kira Lewis, Jr.",PG,73,170,20,NOP,24,1,Alabama,2020 Rnd 1 Pick 13,United States
2022,Scottie Lewis,SF,77,185,21,CHA,2,0,Florida,2021 Rnd 2 Pick 26,United States
2022,Damian Lillard,G,74,195,31,POR,29,9,Weber State,2012 Rnd 1 Pick 6,United States
2022,Nassir Little,SF,77,220,22,POR,42,2,North Carolina,2019 Rnd 1 Pick 25,United States
2022,Isaiah Livers,PF,79,230,23,DET,19,0,Michigan,2021 Rnd 2 Pick 12,United States
2022,Kevon Looney,PF,81,250,26,GSW,82,6,UCLA,2015 Rnd 1 Pick 30,United States
2022,Brook Lopez,C,84,270,33,MIL,13,13,Stanford,2008 Rnd 1 Pick 10,United States
2022,Robin Lopez,FC,84,281,33,ORL,36,13,Stanford,2008 Rnd 1 Pick 15,United States
2022,Didi Louzada,SF,77,215,22,"NOP, POR",9,1,Franca (Brazil),2019 Rnd 2 Pick 5,Brazil
2022,Kevin Love,FC,80,247,33,CLE,74,13,UCLA,2008 Rnd 1 Pick 5,United States
2022,Kyle Lowry,PG,73,196,35,MIA,63,15,Villanova,2006 Rnd 1 Pick 24,United States
2022,Gabriel Lundberg,G,76,202,27,PHX,4,0,BMS Herlev Wolfpack (Denmark),"2016 NBA Draft, Undrafted",Denmark
2022,Timothe Luwawu-Cabarrot,F,79,210,26,ATL,52,5,KK Mega Bemax (Serbia),2016 Rnd 1 Pick 24,France
2022,Trey Lyles,SF,81,234,26,"DET, SAC",75,6,Kentucky,2015 Rnd 1 Pick 12,CanadaUnited States
2022,Theo Maledon,PG,77,180,20,OKC,51,1,ASVEL Basket (France),2020 Rnd 2 Pick 4,France
2022,Sandro Mamukelashvili,F,83,245,22,MIL,41,0,Seton Hall,2021 Rnd 2 Pick 24,Georgia
2022,Terance Mann,SG,77,215,25,LAC,81,2,Florida State,2019 Rnd 2 Pick 18,United States
2022,Tre Mann,PG,77,190,21,OKC,60,0,Florida,2021 Rnd 1 Pick 18,United States
2022,Boban Marjanovic,C,88,290,33,DAL,23,6,KK Vrsac Swisslion (Serbia),"2010 NBA Draft, Undrafted",Serbia
2022,Lauri Markkanen,SF,84,238,24,CLE,61,4,Arizona,2017 Rnd 1 Pick 7,Finland
2022,Naji Marshall,SF,79,220,24,NOP,55,1,Xavier,"2020 NBA Draft, Undrafted",United States
2022,Caleb Martin,F,79,205,26,MIA,60,2,Nevada,"2019 NBA Draft, Undrafted",United States
2022,Cody Martin,F,78,200,26,CHA,71,2,Nevada,2019 Rnd 2 Pick 6,United States
2022,K.J. Martin,F,79,215,21,HOU,79,1,IMG Academy (Florida),2020 Rnd 2 Pick 22,United States
2022,Kelan Martin,SF,77,230,26,"BOS, IND",30,2,Butler,"2018 NBA Draft, Undrafted",United States
2022,Garrison Mathews,SG,77,215,25,HOU,65,2,Lipscomb,"2019 NBA Draft, Undrafted",United States
2022,Dakota Mathias,SG,76,200,26,MEM,6,1,Purdue,"2018 NBA Draft, Undrafted",United States
2022,Wesley Matthews,G,77,220,35,MIL,49,12,Marquette,"2009 NBA Draft, Undrafted",United States
2022,Tyrese Maxey,PG,74,195,21,PHI,75,1,Kentucky,2020 Rnd 1 Pick 21,United States
2022,Skylar Mays,PG,76,205,24,ATL,28,1,LSU,2020 Rnd 2 Pick 20,United States
2022,Miles McBride,G,74,196,21,NYK,40,0,West Virginia,2021 Rnd 2 Pick 6,United States
2022,Mac McClung,PG,74,185,23,"CHI, LAL",2,0,Texas Tech,"2021 NBA Draft, Undrafted",United States
2022,C.J. McCollum,G,75,190,30,"NOP, POR",62,8,Lehigh,2013 Rnd 1 Pick 10,United States
2022,T.J. McConnell,G,74,190,29,IND,27,6,Arizona,"2015 NBA Draft, Undrafted",United States
2022,Jaden McDaniels,F,81,185,21,MIN,70,1,Washington,2020 Rnd 1 Pick 28,United States
2022,Jalen McDaniels,PF,81,212,24,CHA,55,2,San Diego State,2019 Rnd 2 Pick 22,United States
2022,Doug McDermott,F,80,225,30,SAS,51,7,Creighton,2014 Rnd 1 Pick 11,United States
2022,JaVale McGee,C,84,270,34,PHX,74,13,Nevada,2008 Rnd 1 Pick 18,United States
2022,Cameron McGriff,SF,79,220,24,POR,3,0,Oklahoma State,"2020 NBA Draft, Undrafted",United States
2022,Rodney McGruder,SG,76,205,30,DET,51,5,Kansas State,"2013 NBA Draft, Undrafted",United States
2022,Alfonzo McKinnie,F,80,215,29,CHI,17,4,Green Bay,"2015 NBA Draft, Undrafted",United States
2022,JaQuori McLaughlin,PG,76,190,24,DAL,4,0,UC Santa Barbara,"2021 NBA Draft, Undrafted",United States
2022,Jordan McLaughlin,G,73,185,25,MIN,62,2,USC,"2018 NBA Draft, Undrafted",United States
2022,Ben McLemore,SG,75,195,29,POR,64,8,Kansas,2013 Rnd 1 Pick 7,United States
2022,De'Anthony Melton,SG,74,200,23,MEM,73,3,USC,2018 Rnd 2 Pick 16,United States
2022,Sam Merrill,G,76,197,25,MEM,6,1,Utah State,2020 Rnd 2 Pick 30,United States
2022,Chimezie Metu,PF,82,225,24,SAC,60,3,USC,2018 Rnd 2 Pick 19,United StatesNigeria
2022,Khris Middleton,SF,80,222,30,MIL,66,9,Texas A&M,2012 Rnd 2 Pick 9,United States
2022,C.J. Miles,GF,78,220,34,BOS,1,15,Skyline High School  (Texas),2005 Rnd 2 Pick 4,United States
2022,Patty Mills,G,72,180,33,BRK,81,12,Saint Mary's,2009 Rnd 2 Pick 25,Australia
2022,Paul Millsap,FC,79,250,37,"BRK, PHL",33,15,Louisiana Tech,2006 Rnd 2 Pick 17,United States
2022,Shake Milton,SG,77,215,25,PHI,55,3,Southern Methodist,2018 Rnd 2 Pick 24,United States
2022,Davion Mitchell,PG,74,205,23,SAC,75,0,Baylor,2021 Rnd 1 Pick 9,United States
2022,Donovan Mitchell,SG,75,215,25,UTA,67,4,Louisville,2017 Rnd 1 Pick 13,United States
2022,Evan Mobley,PF,84,215,20,CLE,69,0,USC,2021 Rnd 1 Pick 3,United States
2022,Malik Monk,SG,75,200,24,LAL,76,4,Kentucky,2017 Rnd 1 Pick 11,United States
2022,Greg Monroe,FC,83,265,31,"MIL, MIN, UTH, WAS",14,9,Georgetown,2010 Rnd 1 Pick 7,United States
2022,Moses Moody,SG,78,205,19,GSW,52,0,Arkansas,2021 Rnd 1 Pick 14,United States
2022,Xavier Moon,SG,74,165,27,LAC,10,0,Morehead State,"2017 NBA Draft, Undrafted",United States
2022,Matt Mooney,G,75,200,25,NYK,1,1,Texas Tech,"2019 NBA Draft, Undrafted",United States
2022,Ja Morant,G,75,175,22,MEM,57,2,Murray State,2019 Rnd 1 Pick 2,United States
2022,Juwan Morgan,PF,79,232,24,"BOS, TOR",2,2,Indiana,"2019 NBA Draft, Undrafted",United States
2022,Jaylen Morris,G,77,195,26,SAS,3,2,Molloy,"2017 NBA Draft, Undrafted",United States
2022,Marcus Morris,F,80,218,32,LAC,54,10,Kansas,2011 Rnd 1 Pick 14,United States
2022,Markieff Morris,PF,82,245,32,MIA,17,10,Kansas,2011 Rnd 1 Pick 13,United States
2022,Monte Morris,G,74,183,26,DEN,75,4,Iowa State,2017 Rnd 2 Pick 21,United StatesNigeria
2022,Emmanuel Mudiay,SG,77,200,25,SAC,2,5,Guangzhou Loong Lions (China),2015 Rnd 1 Pick 7,United StatesDemocratic Republic of the Congo
2022,Mychal Mulder,GF,75,195,27,"MIA, ORL",17,2,Kentucky,"2017 NBA Draft, Undrafted",Canada
2022,Ade Murkey,SF,77,200,24,SAC,1,0,Denver,"2020 NBA Draft, Undrafted",United States
2022,Trey Murphy III,G,80,208,21,NOP,62,0,Virginia,2021 Rnd 1 Pick 17,United States
2022,Dejounte Murray,SG,77,180,25,SAS,68,5,Washington,2016 Rnd 1 Pick 29,United States
2022,Mike Muscala,FC,83,240,30,OKC,43,8,Bucknell,2013 Rnd 2 Pick 14,United States
2022,Svi Mykhailiuk,SF,80,205,24,TOR,56,3,Kansas,2018 Rnd 2 Pick 17,Ukraine
2022,Abdel Nader,SF,78,225,28,PHX,14,4,Iowa State,2016 Rnd 2 Pick 28,United StatesEgypt
2022,"Larry Nance, Jr.",SF,79,245,29,"NOP, POR",46,6,Wyoming,2015 Rnd 1 Pick 27,United States
2022,R.J. Nembhard,PG,77,200,22,CLE,14,0,Texas Christian,"2021 NBA Draft, Undrafted",United States
2022,Aaron Nesmith,F,78,213,22,BOS,52,1,Vanderbilt,2020 Rnd 1 Pick 14,United States
2022,Raulzinho Neto,PG,73,180,29,WAS,70,6,Acunsa GBC (Spain),2013 Rnd 2 Pick 17,Brazil
2022,Malik Newman,SG,75,190,25,CLE,1,1,Kansas,"2018 NBA Draft, Undrafted",United States
2022,Georges Niang,F,79,235,28,PHI,76,5,Iowa State,2016 Rnd 2 Pick 20,United States
2022,Daishen Nix,GF,77,224,20,HOU,24,0,NBA G League Ignite,"2021 NBA Draft, Undrafted",United States
2022,Zeke Nnaji,PF,83,240,21,DEN,41,1,Arizona,2020 Rnd 1 Pick 22,United States
2022,Nerlens Noel,FC,83,220,27,NYK,25,8,Kentucky,2013 Rnd 1 Pick 6,United States
2022,Jaylen Nowell,SG,76,197,22,MIN,62,2,Washington,2019 Rnd 2 Pick 13,United States
2022,Frank Ntilikina,PG,78,200,23,DAL,58,4,Strasbourg IG (France),2017 Rnd 1 Pick 8,BelgiumFrance
2022,Jusuf Nurkic,FC,84,290,27,POR,56,7,Cedevita (Croatia),2014 Rnd 1 Pick 16,Bosnia and Herzegovina
2022,David Nwaba,G,77,219,29,HOU,46,5,Cal Poly,"2016 NBA Draft, Undrafted",United States
2022,Jordan Nwora,F,80,226,23,MIL,62,1,Louisville,2020 Rnd 2 Pick 15,United StatesNigeria
2022,Royce O'Neale,SF,78,226,28,UTA,77,4,Baylor,"2015 NBA Draft, Undrafted",United States
2022,Semi Ojeleye,SF,78,240,27,"LAC, MIL",30,4,Southern Methodist,2017 Rnd 2 Pick 7,United States
2022,Chuma Okeke,PF,80,230,23,ORL,70,1,Auburn,2019 Rnd 1 Pick 16,United States
2022,Josh Okogie,SG,76,220,23,MIN,49,3,Georgia Tech,2018 Rnd 1 Pick 20,NigeriaUnited States
2022,Onyeka Okongwu,PF,81,245,21,ATL,48,1,USC,2020 Rnd 1 Pick 6,United States
2022,Isaac Okoro,SG,77,225,21,CLE,67,1,Auburn,2020 Rnd 1 Pick 5,United States
2022,KZ Okpala,SG,80,215,22,MIA,21,2,Stanford,2019 Rnd 2 Pick 2,United StatesNigeria
2022,Victor Oladipo,G,76,210,29,MIA,8,8,Indiana,2013 Rnd 1 Pick 2,United States
2022,Cameron Oliver,C,80,225,25,ATL,2,1,Nevada,"2017 NBA Draft, Undrafted",United States
2022,Kelly Olynyk,C,83,240,30,DET,40,8,Gonzaga,2013 Rnd 1 Pick 13,Canada
2022,Eugene Omoruyi,F,78,235,25,DAL,4,0,Oregon,"2021 NBA Draft, Undrafted",Canada
2022,Miye Oni,SF,77,206,24,UTA,16,2,Yale,2019 Rnd 2 Pick 28,United StatesNigeria
2022,Cedi Osman,GF,79,230,26,CLE,66,4,Anadolu Efes (Turkey),2015 Rnd 2 Pick 1,North MacedoniaTurkey
2022,Daniel Oturu,FC,80,240,22,TOR,3,1,Minnesota,2020 Rnd 2 Pick 3,United States
2022,"Kelly Oubre, Jr.",SF,78,205,26,CHA,76,6,Kansas,2015 Rnd 1 Pick 15,United States
2022,Jaysean Paige,G,74,200,27,DET,1,0,West Virginia,"2016 NBA Draft, Undrafted",United StatesPuerto Rico
2022,Trayvon Palmer,GF,78,200,27,DET,1,0,Chicago State,"2017 NBA Draft, Undrafted",United States
2022,Kevin Pangos,PG,74,185,29,CLE,24,0,Gonzaga,"2015 NBA Draft, Undrafted",Canada
2022,Jabari Parker,F,80,245,26,BOS,12,7,Duke,2014 Rnd 1 Pick 2,United States
2022,Eric Paschall,F,78,264,25,UTA,58,2,Villanova,2019 Rnd 2 Pick 11,United States
2022,Chris Paul,PG,72,175,36,PHX,65,16,Wake Forest,2005 Rnd 1 Pick 4,United States
2022,Cameron Payne,G,75,190,27,PHX,58,6,Murray State,2015 Rnd 1 Pick 14,United States
2022,Gary Payton II,G,75,195,29,GSW,71,5,Oregon State,"2016 NBA Draft, Undrafted",United States
2022,Elfrid Payton,G,76,185,28,PHX,50,7,Louisiana,2014 Rnd 1 Pick 10,United States
2022,Norvel Pelle,FC,82,216,29,UTA,3,2,Delaware 87ers,"2014 NBA Draft, Undrafted",LebanonAntigua and Barbuda
2022,Reggie Perry,F,80,250,21,"IND, POR",10,1,Mississippi State,2020 Rnd 2 Pick 27,United States
2022,Jamorko Pickett,F,81,206,24,DET,13,0,Georgetown,"2021 NBA Draft, Undrafted",United States
2022,Theo Pinson,SG,77,212,26,DAL,19,3,North Carolina,"2018 NBA Draft, Undrafted",United States
2022,Mason Plumlee,PF,84,250,31,CHA,73,8,Duke,2013 Rnd 1 Pick 22,United States
2022,Jakob Poeltl,C,84,240,26,SAS,68,5,Utah,2016 Rnd 1 Pick 9,Austria
2022,Aleksej Pokusevski,C,84,190,20,OKC,61,1,Olympiacos U18 (Greece),2020 Rnd 1 Pick 17,Serbia
2022,Yves Pons,GF,77,206,22,MEM,12,0,Tennessee,"2021 NBA Draft, Undrafted",HaitiFrance
2022,Jordan Poole,SG,76,195,22,GSW,76,2,Michigan,2019 Rnd 1 Pick 28,United States
2022,"Kevin Porter, Jr.",SF,76,203,21,HOU,61,2,USC,2019 Rnd 1 Pick 30,United States
2022,"Michael Porter, Jr.",PF,82,218,23,DEN,9,3,Missouri,2018 Rnd 1 Pick 14,United States
2022,Otto Porter,SF,80,228,28,GSW,63,8,Georgetown,2013 Rnd 1 Pick 3,United States
2022,Bobby Portis,PF,83,250,27,MIL,72,6,Arkansas,2015 Rnd 1 Pick 22,United States
2022,Kristaps Porzingis,FC,87,240,26,"DAL, WAS",51,6,Coosur Real Betis (Spain),2015 Rnd 1 Pick 4,Latvia
2022,Micah Potter,C,82,250,23,DET,3,0,Wisconsin,"2021 NBA Draft, Undrafted",United States
2022,Dwight Powell,PF,82,240,30,DAL,82,7,Stanford,2014 Rnd 2 Pick 15,Canada
2022,Myles Powell,SG,73,205,24,PHI,11,1,Seton Hall,"2020 NBA Draft, Undrafted",United States
2022,Norman Powell,SG,75,215,28,"LAC, POR",45,6,UCLA,2015 Rnd 2 Pick 16,United States
2022,Joshua Primo,G,77,190,19,SAS,50,0,Alabama,2021 Rnd 1 Pick 12,Canada
2022,Taurean Prince,F,79,218,27,MIN,69,5,Baylor,2016 Rnd 1 Pick 12,United States
2022,Payton Pritchard,PG,74,190,24,BOS,71,1,Oregon,2020 Rnd 1 Pick 26,United States
2022,Trevelin Queen,G,78,190,25,HOU,10,0,New Mexico State,"2020 NBA Draft, Undrafted",United States
2022,Neemias Queta,C,84,245,22,SAC,15,0,Utah State,2021 Rnd 2 Pick 9,Portugal
2022,Immanuel Quickley,PG,75,188,22,NYK,78,1,Kentucky,2020 Rnd 1 Pick 25,United States
2022,Jahmi'us Ramsey,PG,75,195,20,SAC,19,1,Texas Tech,2020 Rnd 2 Pick 13,United States
2022,Julius Randle,PF,81,250,27,NYK,72,7,Kentucky,2014 Rnd 1 Pick 7,United States
2022,Austin Reaves,PG,77,206,23,LAL,61,0,Oklahoma,"2021 NBA Draft, Undrafted",United States
2022,Cam Reddish,G,80,218,22,"ATL, NYK",49,2,Duke,2019 Rnd 1 Pick 10,United States
2022,Davon Reed,SF,77,208,26,DEN,48,2,Miami (FL),2017 Rnd 2 Pick 2,United States
2022,"Paul Reed, Jr.",F,80,218,22,PHI,38,1,DePaul,2020 Rnd 2 Pick 28,United States
2022,Naz Reid,C,81,250,22,MIN,77,2,LSU,"2019 NBA Draft, Undrafted",United States
2022,Nick Richards,C,84,250,24,CHA,50,1,Kentucky,2020 Rnd 2 Pick 12,Jamaica
2022,Josh Richardson,G,77,200,28,"BOS, SAN",65,6,Tennessee,2015 Rnd 2 Pick 10,United States
2022,Austin Rivers,SG,76,200,29,DEN,67,9,Duke,2012 Rnd 1 Pick 10,United States
2022,Duncan Robinson,F,80,210,27,MIA,79,3,Michigan,"2018 NBA Draft, Undrafted",United States
2022,Justin Robinson,PG,73,195,24,"DET, MIL, SAC",25,2,Virginia Tech,"2019 NBA Draft, Undrafted",United States
2022,Mitchell Robinson,C,85,240,23,NYK,72,3,,2018 Rnd 2 Pick 6,United States
2022,Jeremiah Robinson-Earl,PF,81,230,21,OKC,49,0,Villanova,2021 Rnd 2 Pick 2,United States
2022,Isaiah Roby,SF,80,230,24,OKC,45,2,Nebraska,2019 Rnd 2 Pick 15,United States
2022,Rajon Rondo,PG,73,180,36,"CLE, LAL",39,15,Kentucky,2006 Rnd 1 Pick 21,United States
2022,Derrick Rose,PG,75,200,33,NYK,26,13,Memphis,2008 Rnd 1 Pick 1,United States
2022,Terrence Ross,SF,79,206,31,ORL,63,9,Washington,2012 Rnd 1 Pick 8,United States
2022,Terry Rozier,G,73,195,27,CHA,73,6,Louisville,2015 Rnd 1 Pick 16,United States
2022,Ricky Rubio,G,75,190,31,CLE,34,10,Joventut Badalona (Spain),2009 Rnd 1 Pick 5,Spain
2022,D'Angelo Russell,SG,76,193,26,MIN,65,6,Ohio State,2015 Rnd 1 Pick 2,United States
2022,Matt Ryan,SF,79,215,24,BOS,1,0,Chattanooga,"2020 NBA Draft, Undrafted",United States
2022,Domantas Sabonis,PF,83,240,25,"IND, SAC",62,5,Gonzaga,2016 Rnd 1 Pick 11,United StatesLithuania
2022,Olivier Sarr,FC,84,240,23,OKC,22,0,Kentucky,"2021 NBA Draft, Undrafted",France
2022,Tomas Satoransky,PG,79,210,30,"NOP, SAN, WAS",55,5,Coosur Real Betis (Spain),2012 Rnd 2 Pick 2,Czech Republic
2022,Jordan Schakel,SF,78,200,23,WAS,4,0,San Diego State,"2021 NBA Draft, Undrafted",United States
2022,Admiral Schofield,SF,77,241,24,ORL,38,1,Tennessee,2019 Rnd 2 Pick 12,United States
2022,Dennis Schroder,PG,75,172,28,"BOS, HOU",64,8,Basketball Lowen Braunschweig (Germany),2013 Rnd 1 Pick 17,Germany
